Crypto Name,Price,24H Change,24H Volume,Market Cap
Bitcoin,"$17,050.39",+0.60%,$17.56 B,$324.37 B
Ethereum,"$1,252.93",+0.46%,$4.77 B,$150.8 B
Tether,$1.02,+0.07%,$23.11 B,$65.74 B
BNB,$289.38,+0.88%,$653.07 M,$45.65 B
USD Coin,$1.00,+0.01%,$1.95 B,$42.84 B
Binance USD,$1.00,+0.25%,$5.18 B,$22.16 B
XRP,$0.391,+1.65%,$750.24 M,$19.39 B
Dogecoin,$0.09822,+1.34%,$485.42 M,$12.84 B
Cardano,$0.3158,+0.69%,$194.24 M,$10.73 B
Polygon,$0.9097,+1.97%,$249.07 M,$7.83 B
Polkadot,$5.38,+0.42%,$188.45 M,$6.06 B
Dai,$1.02,+0.06%,$171.74 M,$5.88 B
Wrapped TRON,$0.0532,+0.84%,"$927,780",$5.41 B
Litecoin,$76.72,-1.76%,$519.35 M,$5.43 B
Shiba Inu,$0.000009414,+2.26%,$94.85 M,$5.06 B
TRON,$0.05345,+1.48%,$183.52 M,$4.92 B
Solana,$14.14,-0.04%,$206.38 M,$4.95 B
HEX,$0.028,-0.29%,$1.73 M,$4.86 B
Uniswap,$6.06,+0.79%,$60.89 M,$4.54 B
Lido stETH,"$1,209.27",-1.11%,$6.16 M,$4.22 B
Avalanche,$13.53,+1.73%,$116 M,$4.11 B
UNUS SED LEO,$3.79,-0.02%,$2.48 M,$3.61 B
Chainlink,$7.02,+0.65%,$195.94 M,$3.49 B
Wrapped Bitcoin,"$17,029.84",+0.64%,$49.82 M,$3.36 B
Cosmos,$9.82,-0.83%,$123.62 M,$2.76 B
Monero,$144.43,+2.18%,$61.47 M,$2.63 B
Ethereum Classic,$19.28,+0.35%,$84.91 M,$2.6 B
Toncoin,$1.83,+2.22%,$32.52 M,$2.24 B
Stellar,$0.08627,+0.67%,$38.31 M,$2.17 B
Bitcoin Cash,$111.41,+1.22%,$145.45 M,$2.11 B
Cronos,$0.06415,-1.26%,$19.54 M,$1.6 B
Algorand,$0.2269,+0.80%,$50.74 M,$1.59 B
Filecoin,$4.45,+0.65%,$85.71 M,$1.46 B
Quant,$120.30,-0.51%,$24.28 M,$1.43 B
NEAR Protocol,$1.72,-1.82%,$80.88 M,$1.41 B
ApeCoin,$3.95,-1.43%,$161.58 M,$1.4 B
VeChain,$0.01935,+1.30%,$25.98 M,$1.36 B
OKB,$20.80,+0.77%,$12.22 M,$1.25 B
Hedera,$0.04971,+1.78%,$10.6 M,$1.18 B
Internet Computer,$4.28,+0.70%,$17.56 M,$1.15 B
Wrapped BNB,$285.23,+0.75%,$48.72 M,$1.09 B
Flow,$1.05,-0.55%,$34.24 M,$1.07 B
Elrond,$45.44,+0.03%,$33.28 M,$1.06 B
EOS,$1.00,+5.75%,$224.55 M,$1.06 B
Frax,$0.9966,+0.29%,$14.84 M,$1.02 B
Trust Wallet Token,$2.46,+4.40%,$60.75 M,$1.03 B
Luna Classic,$0.0001837,+1.20%,$68.12 M,$992.4 M
Huobi Token,$6.39,+1.25%,$15.34 M,$980.48 M
Pax Dollar,$1.00,-0.00%,$1.31 M,$945.65 M
Chiliz,$0.1561,+1.30%,$100.14 M,$942.11 M
